H5003;-14.432808259680879;16.487586971291268;20:30;FEED;diner;cour
H5004;-14.432840096526578;16.48755642607044;06:00;STILL;Priére;cour
H5004;-14.432840096526578;16.48755642607044;06:15;REST;Dormir;cour
H5004;-14.432840096526578;16.48755642607044;14:00;FEED;déjeuner;cour
H5004;-14.432840096526578;16.48755642607044;21:00;FEED;diner;cour
H5004;-14.432840096526578;16.48755642607044;22:00;REST;Repos;cour
H5101;-14.433181689582804;16.48813642260232;14:00;FEED;Déjeuner;cour
H5101;-14.433181689582804;16.48813642260232;15:00;REST;Dormir;cour
H5101;-14.433181689582804;16.48813642260232;17:00;REST;repos;cour
H5101;-14.433181689582804;16.48813642260232;20:30;FEED;Diner;cour
H5101;-14.433181689582804;16.48813642260232;21:00;STILL;Palabrer;cour
H5102;-14.43319035859956;16.48813642589249;05:00;STILL;priére;cour
H5102;-14.43319035859956;16.48813642589249;06:00;FEED;petit dejeuner;cour
H5102;-14.43319035859956;16.48813642589249;07:00;REST;repos;cour
H5102;-14.43319035859956;16.48813642589249;14:00;FEED;Déjeuner;cour
H5102;-14.43319035859956;16.48813642589249;19:00;FEED;diner;cour
H5103;-14.43323368352759;16.488128119984395;06:00;WANDER;priére+ wird+ petit dej;cour
H5103;-14.43323368352759;16.488128119984395;12:00;REST;repos;cour
H5103;-14.43323368352759;16.488128119984395;14:00;FEED;Déjeuner;cour
H5103;-14.43323368352759;16.488128119984395;15:00;REST;Dormir;cour
H5103;-14.43323368352759;16.488128119984395;17:00;REST;repos;cour
H5104;-14.433173009187252;16.488122544765627;07:00;WANDER;priére + tache ménagére;cour
H5104;-14.433173009187252;16.488122544765627;07:30;FEED;petit dej;cour
H5104;-14.433173009187252;16.488122544765627;14:00;FEED;Déjeuner;cour
H5104;-14.433173009187252;16.488122544765627;15:00;REST;Dormir;cour
H5104;-14.433173009187252;16.488122544765627;17:00;WANDER;préparer le diner;cour
H5105;-14.43308910783753;16.48810029074993;06:00;STILL;Prière;Cour
H5105;-14.43308910783753;16.48810029074993;06:15;FEED;Petit déjeuner;cour
H5105;-14.43308910783753;16.48810029074993;14:00;FEED;Déjeuner;cour
H5105;-14.43308910783753;16.48810029074993;20:00;REST;repos;cour
H5106;-14.433265504957626;16.488158632811928;08:00;FEED;petit dejeuner;cour
H5106;-14.433265504957626;16.488158632811928;14:00;REST;repos;cour
H5106;-14.433265504957626;16.488158632811928;15:00;FEED;Déjeuner;cour
H5106;-14.433265504957626;16.488158632811928;19:00;REST;repos;cour
H5107;-14.433207682446973;16.488125336627995;08:00;FEED;petit déjeuner;cour
H5107;-14.433207682446973;16.488125336627995;14:00;FEED;Déjeuner;cour
H5107;-14.433207682446973;16.488125336627995;17:00;STILL;palabrer;cour
H5107;-14.433207682446973;16.488125336627995;20:00;STILL;regarder la télé;Cour
H5201;-14.433604207084144;16.488169515734583;14:00;REST;Dormir;cour
H5201;-14.433604207084144;16.488169515734583;18:00;REST;Repos;cour
H5201;-14.433844303140154;16.48825374059641;21:00;FEED;diner;cour
H5202;-14.433832525269152;16.488250907959113;06:00;STILL;Prière;Cour
H5202;-14.433832525269152;16.488250907959113;07:00;FEED;Petit déjeuner;cour
H5202;-14.433832525269152;16.488250907959113;08:00;WANDER;tache ménagére;cour
H5202;-14.433844303140154;16.48825374059641;14:00;FEED;Déjeuner;cour
H5202;-14.433832525269152;16.488250907959113;15:00;REST;dormir;cour
H5202;-14.433844303140154;16.48825374059641;20:00;FEED;diner;cour
H5203;-14.433820763403055;16.488242475789544;05:00;STILL;priére;cour
H5203;-14.433820763403055;16.488242475789544;06:00;FEED;petit dejeuner;cour
H5203;-14.433820763403055;16.488242475789544;12:00;REST;Repos;cour
H5203;-14.433844303140154;16.48825374059641;14:00;FEED;Déjeuner;cour
H5203;-14.433820763403055;16.488242475789544;17:00;WANDER;preparatif de diner;cour
H5203;-14.433820763403055;16.488242475789544;21:00;FEED;diner;cour
H5203;-14.433820763403055;16.488242475789544;22:00;STILL;Palabrer;cour
H5204;-14.433753272274288;16.488228363009508;06:00;STILL;Prière;Cour
H5204;-14.433753272274288;16.488228363009508;06:30;FEED;Petit déjeuner;cour
H5204;-14.433844303140154;16.48825374059641;14:00;FEED;Déjeuner;cour
H5204;-14.430951106415838;16.488962387019217;15:00;STILL;école coranique;cour
H5205;-14.433729879635841;16.488256341571798;14:00;REST;Dormir;cour
H5205;-14.433729879635841;16.488256341571798;18:00;REST;Repos;cour
H5205;-14.433844303140154;16.48825374059641;21:00;FEED;diner;cour
H5206;-14.433636341594228;16.48830659856573;06:00;STILL;Prière;Cour
H5206;-14.433636341594228;16.48830659856573;07:00;FEED;Petit déjeuner;cour
H5206;-14.433636341594228;16.48830659856573;16:00;STILL;priére;cour
H5206;-14.433844303140154;16.48825374059641;16:15;FEED;dejeuner;cour
H5206;-14.433636341594228;16.48830659856573;21:00;REST;repos+ thé;cour
H5209;-14.433756342187133;16.488298445060646;08:00;FEED;petit déjeuner+ tache ménagére;cour
H5209;-14.433756342187133;16.488298445060646;11:00;WANDER;aide à la tâche ménagére;cour
H5209;-14.433756342187133;16.488298445060646;14:00;FEED;Déjeuner;cour
H5209;-14.433756342187133;16.488298445060646;17:00;REST;repos;cour
H5209;-14.433756342187133;16.488298445060646;21:00;REST;repos+ thé;cour
H5210;-14.433756342187133;16.488298445060646;06:00;STILL;Prière;Cour
H5210;-14.433756342187133;16.488298445060646;07:00;FEED;Petit déjeuner;cour
H5210;-14.433756342187133;16.488298445060646;08:00;FEED;petit déjeuner+ tache ménagére;cour
H5210;-14.433756342187133;16.488298445060646;11:00;WANDER;aide à la tâche ménagére;cour
H5210;-14.433756342187133;16.488298445060646;14:00;FEED;Déjeuner;cour
H5210;-14.433756342187133;16.488298445060646;17:00;REST;repos;cour
H5210;-14.433756342187133;16.488298445060646;19:00;REST;regarder télé;cour
H5210;-14.433756342187133;16.488298445060646;21:00;REST;repos+ thé;cour
H5211;-14.433788585589628;16.48829009908975;06:00;STILL;Prière;Cour
H5211;-14.433788585589628;16.48829009908975;06:30;FEED;Petit déjeuner;cour
H5211;-14.433788585589628;16.48829009908975;12:00;REST;Repos;cour
H5211;-14.433844303140154;16.48825374059641;14:00;FEED;déjeuner;cour
H5211;-14.433788585589628;16.48829009908975;15:00;REST;Dormir;cour
H5211;-14.433844303140154;16.48825374059641;22:00;FEED;dîner;cour
H5301;-14.432865068493568;16.488597830021604;14:00;FEED;déjeuner;cour
H5301;-14.432865068493568;16.488597830021604;15:00;REST;Dormir;Cour
H5301;-14.432759556409234;16.48855869700495;21:00;FEED;dîner;cour
H5302;-14.432865068493568;16.488597830021604;19:00;REST;Repos;Cour
H5303;-14.432759556409234;16.48855869700495;06:00;STILL;Prière;Cour
H5303;-14.432865068493568;16.488597830021604;14:00;FEED;déjeuner;cour
H5303;-14.432865068493568;16.488597830021604;15:00;REST;Dormir;Cour
H5303;-14.432865068493568;16.488597830021604;20:00;STILL;Palabrer;Cour
H5304;-14.432865068493568;16.488597830021604;14:00;FEED;Manger;cour
H5305;-14.432865068493568;16.488597830021604;14:00;FEED;Manger;cour
H5306;-14.432865068493568;16.488597830021604;14:00;FEED;déjeuner;cour
H5306;-14.432865068493568;16.488597830021604;15:00;REST;Se reposer;cour
H5307;-14.432910233723716;16.488616136213917;13:00;REST;Repos;Cour
H5307;-14.432910233723716;16.488616136213917;14:00;FEED;déjeuner;cour
H5307;-14.432910233723716;16.488616136213917;15:00;WANDER;Faire le thè;Cour
H5308;-14.43290733188117;16.48857161468564;14:00;FEED;déjeuner;cour
H5308;-14.43290733188117;16.48857161468564;15:00;REST;Se reposer;cour
H5310;-14.433011939973051;16.488429755544708;14:00;FEED;déjeuner;cour
H5310;-14.433011939973051;16.488429755544708;15:00;WANDER;Tâche ménagère;Cour
H5310;-14.433011939973051;16.488429755544708;15:30;REST;Dormir;cour
H5310;-14.433011939973051;16.488429755544708;20:00;REST;Repos;Cour
H5311;-14.432937217306714;16.48857707873861;08:00;WANDER;Prière + tâche ménagère;Cour
H5311;-14.432937217306714;16.48857707873861;14:00;FEED;déjeuner;cour
H5311;-14.432937217306714;16.48857707873861;17:00;WANDER;Tâche ménagère;Cour
H5312;-14.432934318202774;16.488557619784665;06:00;WANDER;Prière + tâche ménagère;Cour
H5312;-14.432934318202774;16.488557619784665;14:00;FEED;déjeuner;cour
H5312;-14.432934318202774;16.488557619784665;21:00;FEED;Diner;cour
H5313;-14.43287343760161;16.488493683307595;13:00;REST;Repos;Cour
H5313;-14.43287343760161;16.488493683307595;14:00;FEED;déjeuner;cour
H5313;-14.43287343760161;16.488493683307595;15:00;WANDER;Faire le thè;Cour
H5313;-14.43287343760161;16.488493683307595;16:00;REST;Repos;Cour
H5314;-14.432867639441973;16.488479784061255;19:00;REST;Repos;Cour
H5315;-14.432853163707671;16.48849643999326;14:00;FEED;déjeuner;cour
H5315;-14.432853163707671;16.48849643999326;15:00;REST;Repos;Cour
H5315;-14.432853163707671;16.48849643999326;21:00;REST;Repos;Cour
H5316;-14.43286763944544;16.488482563912253;14:00;FEED;déjeuner;cour
H5317;-14.432858944345734;16.488524259553902;08:00;WANDER;Prière + tâche ménagère;Cour
H5317;-14.432858944345734;16.488524259553902;09:00;FEED;Petit déjeuner;Cour
H5317;-14.432858944345734;16.488524259553902;14:00;FEED;déjeuner;cour
H5317;-14.432858944345734;16.488524259553902;15:00;REST;Repos;Cour
H5317;-14.432858944345734;16.488524259553902;19:00;STILL;Palabrer;Cour
H5401;-14.43243054295802;16.48878922713724;14:00;FEED;déjeuner;cour
H5402;-14.43238411720107;16.488817053820657;14:00;FEED;déjeuner;cour
H5402;-14.43238411720107;16.488817053820657;21:00;FEED;diner;cour
H5403;-14.432421782435542;16.488864355243873;14:00;FEED;déjeuner;cour
H5403;-14.432421782435542;16.488864355243873;21:00;FEED;diner;cour
H5404;-14.432328988592607;16.48887826057285;14:00;FEED;déjeuner;cour
H5404;-14.432328988592607;16.48887826057285;21:00;FEED;diner;cour
H5405;-14.432363800453903;16.488839317840643;14:00;FEED;déjeuner;cour
H5405;-14.432363800453903;16.488839317840643;21:00;FEED;diner;cour
H5406;-14.432424684891926;16.48886157380703;14:00;FEED;déjeuner;cour
H5406;-14.432424684891926;16.48886157380703;21:00;FEED;diner;cour
H5501;-14.430201364217973;16.48852968778264;07:00;FEED;petit dej;cour
H5502;-14.430242137162763;16.48850738705797;04:00;STILL;priére+ wird;cour
H5502;-14.430242137162763;16.48850738705797;08:00;FEED;Petit dejeuner;cour
H5502;-14.430242137162763;16.48850738705797;09:00;REST;Dormir;cour
H5502;-14.430242137162763;16.48850738705797;14:00;FEED;déjeuner;cour
H5502;-14.430242137162763;16.48850738705797;17:00;STILL;palabrer;cour
H5502;-14.430242137162763;16.48850738705797;19:00;REST;repos;cour
H5502;-14.430242137162763;16.48850738705797;21:00;FEED;Diner;cour
H5503;-14.430230301691873;16.488557557608225;05:00;STILL;priére;cour
H5503;-14.430230301691873;16.488557557608225;06:00;FEED;petit dejeuner;cour
H5503;-14.430230301691873;16.488557557608225;13:00;REST;repos;cour
H5503;-14.430230301691873;16.488557557608225;14:00;FEED;déjeuner;cour
H5503;-14.430230301691873;16.488557557608225;15:00;STILL;palabrer;cour
H5503;-14.430230301691873;16.488557557608225;21:00;FEED;Diner;cour
H5504;-14.430218902421714;16.488504599341375;06:00;STILL;priére;cour
H5504;-14.430218902421714;16.488504599341375;07:00;FEED;petit dejeuner;cour
H5504;-14.430218902421714;16.488504599341375;14:00;FEED;déjeuner;cour
H5504;-14.430218902421714;16.488504599341375;20:00;FEED;diner;cour
H5504;-14.430218902421714;16.488504599341375;21:00;STILL;palabrer;cour
H5505;-14.430212974776222;16.488532475001005;14:30;FEED;déjeuner;cour
H5505;-14.430212974776222;16.488532475001005;21:00;FEED;diner;cour
H5509;-14.430186787545592;16.488512977913377;06:00;FEED;petit dej;cour
H5509;-14.430186787545592;16.488512977913377;15:00;FEED;Déjeuner;cour
H5509;-14.430186787545592;16.488512977913377;16:00;REST;reposer;cour
H5601;-14.431297217950341;16.488908534525045;06:00;WANDER;Priére+ Wird+ Promenade;cour
H5601;-14.431297217950341;16.488908534525045;09:00;REST;Dormir;cour
H5601;-14.431297217950341;16.488908534525045;09:30;STILL;Lecture coranique;cour
H5601;-14.431297217950341;16.488908534525045;14:00;FEED;Déjeuner;cour
H5601;-14.431297217950341;16.488908534525045;15:00;STILL;Lecture coranique;cour
H5601;-14.431297217950341;16.488908534525045;17:00;STILL;Lecture coranique;cour
H5601;-14.431297217950341;16.488908534525045;19:00;REST;Repos;cour
H5602;-14.431070760579612;16.48897809162769;05:00;STILL;priére;cour
H5602;-14.431070760579612;16.48897809162769;14:00;FEED;déjeuner;cour
H5602;-14.431070760579612;16.48897809162769;15:00;WANDER;faire le thé;cour
H5602;-14.431070760579612;16.48897809162769;17:00;REST;repos;cour
H5603;-14.431300125968232;16.488905751030465;04:00;STILL;priére;cour
H5603;-14.430917036597878;16.488975304488736;05:00;WANDER;enseignement;cour
H5603;-14.431300125968232;16.488905751030465;14:00;FEED;déjeuner;cour
H5603;-14.430917036597878;16.488975304488736;15:00;WANDER;enseignement;cour
H5603;-14.431300125968232;16.488905751030465;18:00;REST;Se reposer;cour
H5603;-14.430911239734916;16.488961406394917;19:00;WANDER;enseignement;cour
H5603;-14.431300125968232;16.488905751030465;22:30;FEED;diner;cour
H5604;-14.431303052160267;16.48889461626169;13:00;REST;Repos;cour
H5604;-14.431303052160267;16.48889461626169;18:00;REST;Repos;cour
H5605;-14.43108529323374;16.48895862401331;14:30;FEED;déjeuner;cour
H5605;-14.43108529323374;16.48895862401331;21:00;FEED;Diner;cour
H5606;-14.43107945913147;16.48898087238588;06:00;WANDER;priére+ préparatif petit dej;cour
H5606;-14.43107945913147;16.48898087238588;14:00;FEED;déjeuner;cour
H5606;-14.43107945913147;16.48898087238588;20:30;FEED;Diner;cour
H5701;-14.431909520522881;16.488365641034523;14:00;FEED;déjeuner;cour
H5701;-14.431909520522881;16.488365641034523;19:00;STILL;Palabrer;cour
H5702;-14.43192384119327;16.488335125642273;17:00;FEED;Thé;cour
H5702;-14.43192384119327;16.488335125642273;21:00;FEED;Diner;Cour
H5703;-14.43192384119327;16.488335125642273;08:00;WANDER;Tâche ménagére;cour
H5703;-14.43192384119327;16.488335125642273;14:00;FEED;Déjeuner;cour
H5703;-14.43192384119327;16.488335125642273;15:00;REST;Dormir;Cour
H5704;-14.43192102324053;16.48835735417963;14:00;FEED;déjeuner;cour
H5704;-14.43192102324053;16.48835735417963;15:00;REST;Repos;cour
H5704;-14.43192102324053;16.48835735417963;21:00;FEED;Diner;cour
H5705;-14.431926824738207;16.488354573629106;07:00;WANDER;Puiser de l'eau + Tâche ménagére;Cour
H5705;-14.431926824738207;16.488354573629106;10:15;REST;Repos;cour
H5705;-14.431926824738207;16.488354573629106;14:00;FEED;Déjeuner;cour
H5705;-14.431926824738207;16.488354573629106;21:00;FEED;Diner;cour
H5706;-14.431947203038119;16.488362903939795;07:00;WANDER;Puiser de l'eau + Tâche ménagére;Cour
H5706;-14.431947203038119;16.488362903939795;10:15;REST;Repos;cour
H5706;-14.431947203038119;16.488362903939795;14:00;FEED;Déjeuner;cour
H5706;-14.431947203038119;16.488362903939795;21:00;FEED;Diner;cour
H5707;-14.43192386327468;16.488340682047728;07:00;WANDER;Jouer;Cour
H5707;-14.43192386327468;16.488340682047728;14:00;FEED;déjeuner;cour
H5801;-14.431931965713526;16.488800650029443;05:00;STILL;priére;cour
H5801;-14.431931965713526;16.488800650029443;06:00;FEED;petit dejeuner;cour
H5801;-14.431931965713526;16.488800650029443;12:00;REST;Repos;cour
H5801;-14.431931965713526;16.488800650029443;14:00;FEED;déjeuner;cour
H5801;-14.431931965713526;16.488800650029443;15:00;REST;dormir;cour
H5801;-14.431931965713526;16.488800650029443;17:00;REST;repos;cour
H5802;-14.431941099713859;16.488753195291117;08:00;WANDER;Tache ménagére;cour
H5802;-14.431941099713859;16.488753195291117;14:00;FEED;déjeuner;cour
H5802;-14.431941099713859;16.488753195291117;15:00;REST;Dormir;cour
H5802;-14.431941099713859;16.488753195291117;21:00;FEED;Diner;Cour
H5803;-14.431845188764779;16.488750400675528;06:00;STILL;Priére;cour
H5803;-14.431845188764779;16.488750400675528;19:00;REST;Repos;cour
H5804;-14.431903560228022;16.488714106248956;14:00;FEED;Déjeuner;cour
H5804;-14.431903560228022;16.488714106248956;15:00;STILL;Reviser;cour
H5804;-14.431903560228022;16.488714106248956;18:00;REST;Repos;cour
H5805;-14.431885804097776;16.488764357209952;14:00;FEED;Déjeuner;cour
H5805;-14.431885804097776;16.488764357209952;15:00;STILL;Reviser;cour
H5805;-14.431885804097776;16.488764357209952;18:00;REST;Repos;cour
H5806;-14.431935289459867;16.488753194448027;05:00;WANDER;Priére+ préparatif;cour
H5806;-14.431935289459867;16.488753194448027;12:00;REST;Repos;cour
H5806;-14.431935289459867;16.488753194448027;14:00;FEED;Déjeuner;cour
H5806;-14.431935289459867;16.488753194448027;15:00;REST;Repos;cour
H5901;-14.4316863636481;16.48926638804658;02:00;STILL;Priére;cour
H5901;-14.4316863636481;16.48926638804658;07:00;REST;Repos;cour
H5901;-14.4316863636481;16.48926638804658;14:00;FEED;Déjeuner;cour
H5901;-14.431710994170237;16.489203192294035;15:00;REST;dormir;cour
H5901;-14.4316863636481;16.48926638804658;17:00;REST;Repos;cour
H5901;-14.4316863636481;16.48926638804658;20:00;STILL;Palabrer;Cour
H5901;-14.4316863636481;16.48926638804658;21:00;WANDER;Promenade;cour
H5901;-14.4316863636481;16.48926638804658;22:00;FEED;Diner;Cour
H5902;-14.431702694268106;16.489187404837327;06:00;REST;Dormir;cour
H5902;-14.431702694268106;16.489187404837327;14:00;FEED;Déjeuner;cour
H5902;-14.431702694268106;16.489187404837327;17:00;REST;Repos;cour
H5903;-14.431715299813217;16.48927426893536;06:15;WANDER;Tache ménagére;cour
H5903;-14.431715299813217;16.48927426893536;11:15;REST;Repos;cour
H5903;-14.431715299813217;16.48927426893536;14:00;FEED;déjeuner;cour
H5903;-14.431715299813217;16.48927426893536;15:00;STILL;Palabrer;Cour
H5903;-14.431715299813217;16.48927426893536;17:00;WANDER;Faire la vaisselle;cour
H5903;-14.431715299813217;16.48927426893536;18:00;REST;Repos;cour
H5903;-14.431715299813217;16.48927426893536;20:00;REST;Repos;cour
H5903;-14.431715299813217;16.48927426893536;21:00;FEED;Diner;Cour
H5903;-14.431715299813217;16.48927426893536;22:00;REST;Repos;cour
H6101;-14.431629419647944;16.487775202770266;08:00;FEED;petit dejeuner;cour
H6101;-14.431554283028031;16.487270426160755;14:00;FEED;déjeuner;cour
H6101;-14.431554283028031;16.487270426160755;14:40;STILL;Palabrer;Cour
H6102;-14.431629419647944;16.487775202770266;06:00;WANDER;priere+ tache ménagére;cour
H6102;-14.431629419647944;16.487775202770266;13:00;STILL;Palabrer;Cour
H6102;-14.431589537968659;16.487325708100986;14:00;FEED;déjeuner;cour
H6102;-14.431632318706345;16.48778354202685;15:00;REST;repos;cour
H6102;-14.431632318706345;16.48778354202685;17:00;WANDER;Donner à manger aux moutons;cour
H6102;-14.431632318706345;16.48778354202685;18:30;REST;repos;cour
H6102;-14.431589537968659;16.487325708100986;20:00;FEED;diner;cour
H6103;-14.43163811662964;16.487777982468046;10:30;WANDER;Préparatif pour le déjeuner;cour
H6103;-14.431589537968659;16.487325708100986;14:00;FEED;déjeuner;cour
H6103;-14.431629419647944;16.487775202770266;20:00;FEED;diner;cour
H6103;-14.431629419647944;16.487775202770266;21:00;STILL;Palabrer;Cour
H6104;-14.43166710654356;16.487783541780484;07:15;FEED;petit dejeuner;cour
H6104;-14.43166710654356;16.487783541780484;14:00;REST;repos;cour
H6104;-14.431589537968659;16.487325708100986;15:00;FEED;déjeuner;cour
H6104;-14.43166710654356;16.487783541780484;15:30;REST;Dormir;cour
H6104;-14.43166710654356;16.487783541780484;19:00;REST;repos;cour
H6104;-14.431589537968659;16.487325708100986;20:00;FEED;diner;cour
H6104;-14.43166710654356;16.487783541780484;21:00;REST;repos;cour
H6104;-14.43166710654356;16.487783541780484;23:00;REST;Dormir;cour
H6105;-14.43162362177319;16.487786321846446;07:20;FEED;petit dejeuner;cour
H6105;-14.43162362177319;16.487786321846446;14:00;REST;repos;cour
H6105;-14.431629419647944;16.487775202770266;14:15;FEED;déjeuner;cour
H6105;-14.431629419647944;16.487775202770266;20:00;FEED;diner;cour
H6106;-14.431597530882224;16.48778354226754;07:20;FEED;petit dejeuner;cour
H6106;-14.431589537968659;16.487325708100986;14:00;FEED;déjeuner;cour
H6106;-14.431597530882224;16.48778354226754;15:00;REST;Repos;cour
H6106;-14.431589537968659;16.487325708100986;21:00;FEED;diner;cour
H6107;-14.431515817140312;16.487280942228587;06:00;WANDER;préparatif pour vente du pain;cour
H6107;-14.431551378663158;16.487267656781718;07:00;FEED;petit dejeuner;cour
H6107;-14.431551378663158;16.487267656781718;12:00;REST;Repos;cour
H6107;-14.431551378663158;16.487267656781718;14:00;FEED;déjeuner;cour
H6107;-14.431551378663158;16.487267656781718;15:00;WANDER;faire le thé;cour
H6107;-14.431551378663158;16.487267656781718;17:00;REST;Repos;cour
H6107;-14.431551378663158;16.487267656781718;19:00;STILL;palabrer;cour
H6107;-14.431551378663158;16.487267656781718;22:00;STILL;écouter la radio;cour
H6108;-14.431606994681134;16.487347878147933;05:00;STILL;priére+ wird;cour
H6108;-14.431606994681134;16.487347878147933;07:00;FEED;petit dejeuner;cour
H6108;-14.431606994681134;16.487347878147933;13:00;REST;repos;cour
H6108;-14.431606994681134;16.487347878147933;14:00;WANDER;faire le thé;cour
H6108;-14.431606994681134;16.487347878147933;17:00;STILL;Palabrer;Cour
H6108;-14.431606994681134;16.487347878147933;20:00;FEED;diner;cour
H6108;-14.431606994681134;16.487347878147933;21:00;STILL;palabrer;cour
H6112;-14.431592505085446;16.487342333468217;09:00;FEED;petit dejeuner;cour
H6112;-14.431592505085446;16.487342333468217;12:00;REST;repos;cour
H6112;-14.431592505085446;16.487342333468217;14:00;FEED;Déjeuner;cour
H6112;-14.431592505085446;16.487342333468217;17:00;STILL;connecter;cour
H6112;-14.431592505085446;16.487342333468217;19:00;STILL;palabrer;cour
H6112;-14.431592505085446;16.487342333468217;21:00;WANDER;promenade;cour
H6113;-14.431635655397676;16.487289703437654;10:00;FEED;petit dejeuner;cour
H6113;-14.431635655397676;16.487289703437654;12:00;REST;repos;cour
H6113;-14.431635655397676;16.487289703437654;14:00;FEED;déjeuner;cour
H6113;-14.431635655397676;16.487289703437654;19:00;STILL;palabrer;cour
H6116;-14.431548574285811;16.487278715966482;07:00;STILL;priére;cour
H6116;-14.431548574285811;16.487278715966482;07:30;FEED;petit dejeuner;cour
H6116;-14.431548574285811;16.487278715966482;19:00;WANDER;repos;cour
H6116;-14.431548574285811;16.487278715966482;23:00;STILL;palabrer;cour
H6119;-14.431419800625406;16.48750581698155;06:00;STILL;priére;cour
H6119;-14.431419800625406;16.48750581698155;08:00;FEED;petit dejeuner;cour
H6119;-14.431419800625406;16.48750581698155;17:00;WANDER;repos;cour
H6120;-14.43152545759674;16.487273154233808;11:00;FEED;petit dejeuner;cour
H6120;-14.43152545759674;16.487273154233808;14:00;FEED;déjeuner;Cour
H6120;-14.43152545759674;16.487273154233808;19:00;REST;repos;cour
H6121;-14.431575000613504;16.487309082182172;07:00;WANDER;priére+ salutation;cour
H6121;-14.431575000613504;16.487309082182172;08:00;WANDER;Tâche ménagère;cour
H6121;-14.431575000613504;16.487309082182172;08:30;FEED;petit dejeuner;cour
H6121;-14.431575000613504;16.487309082182172;12:00;WANDER;aller jouer;cour
H6121;-14.431575000613504;16.487309082182172;14:00;FEED;Déjeuner;cour
H6121;-14.431575000613504;16.487309082182172;17:00;REST;repos + regarder télé;cour
H6121;-14.431575000613504;16.487309082182172;20:00;STILL;palabrer;cour
H6121;-14.431575000613504;16.487309082182172;22:00;FEED;Diner;cour
H6122;-14.43141091274576;16.487475323138323;07:00;WANDER;priére+ salutation;cour
H6122;-14.43141091274576;16.487475323138323;08:00;WANDER;Tâche ménagère;cour
H6122;-14.43141091274576;16.487475323138323;08:30;FEED;petit dejeuner;cour
H6122;-14.43141091274576;16.487475323138323;12:00;WANDER;aller jouer;cour
H6122;-14.43141091274576;16.487475323138323;14:00;FEED;Déjeuner;cour
H6122;-14.43141091274576;16.487475323138323;17:00;REST;repos + regarder télé;cour
H6122;-14.43141091274576;16.487475323138323;20:00;FEED;Diner;cour
H6122;-14.43141091274576;16.487475323138323;21:00;STILL;palabrer;cour
H6123;-14.431419859446118;16.48753913447348;07:00;WANDER;priére+ salutation;cour
H6123;-14.431419859446118;16.48753913447348;08:00;WANDER;Tâche ménagère;cour
H6123;-14.431419859446118;16.48753913447348;08:30;FEED;petit dejeuner;cour
H6123;-14.431419859446118;16.48753913447348;12:00;WANDER;aller jouer;cour
H6123;-14.431419859446118;16.48753913447348;14:00;FEED;Dejeuner;Cour
H6123;-14.431419859446118;16.48753913447348;17:00;REST;repos + regarder télé;cour
H6123;-14.431419859446118;16.48753913447348;20:00;FEED;Diner;cour
H6123;-14.431419859446118;16.48753913447348;21:00;STILL;palabrer;cour
H6201;-14.43228059814798;16.489335262578273;08:00;WANDER;Reste dans la cour;cour
H6201;-14.43228059814798;16.489335262578273;14:00;FEED;déjeuner;cour
H6201;-14.43228059814798;16.489335262578273;21:00;STILL;Palabrer;cour
H6202;-14.43227190495558;16.48934082327228;14:00;FEED;déjeuner;Cour
H6202;-14.43227190495558;16.48934082327228;18:00;STILL;Palabrer;cour
H6202;-14.43227190495558;16.48934082327228;20:00;FEED;Diner;cour
H6203;-14.432300951714236;16.48934081339615;14:00;FEED;déjeuner;cour
H6203;-14.432300951714236;16.48934081339615;20:00;FEED;Diner;cour
H6204;-14.432283482012025;16.48932970403327;12:00;REST;Repos;cour
H6204;-14.432283482012025;16.48932970403327;14:00;FEED;déjeuner;cour
H6204;-14.432283482012025;16.48932970403327;20:00;FEED;Diner;cour
H6204;-14.432283482012025;16.48932970403327;21:00;REST;Repos;cour
H6205;-14.43229216440218;16.489321364989134;12:00;REST;Repos;cour
H6205;-14.43229216440218;16.489321364989134;14:00;FEED;déjeuner;cour
H6205;-14.43229216440218;16.489321364989134;20:00;FEED;Diner;cour
H6205;-14.43229216440218;16.489321364989134;21:00;REST;Repos;cour
H6206;-14.432242805558165;16.48934641715816;12:00;REST;Repos;cour
H6206;-14.432242805558165;16.48934641715816;14:00;FEED;déjeuner;cour
H6206;-14.432242805558165;16.48934641715816;20:00;FEED;Diner;cour
H6206;-14.432242805558165;16.48934641715816;21:00;REST;Repos;cour
H6207;-14.432298046974314;16.489340814383922;12:00;REST;Repos;cour
H6207;-14.432298046974314;16.489340814383922;14:00;FEED;déjeuner;cour
H6207;-14.432298046974314;16.489340814383922;20:00;FEED;Diner;cour
H6207;-14.432298046974314;16.489340814383922;21:00;REST;Repos;cour
H6208;-14.432292185296898;16.489326922271918;14:00;FEED;déjeuner;cour
H6208;-14.432292185296898;16.489326922271918;20:00;FEED;Diner;cour
H6209;-14.432292185296898;16.489326922271918;14:00;FEED;déjeuner;cour
H6209;-14.432292185296898;16.489326922271918;20:00;FEED;Diner;cour
H6301;-14.432773380190834;16.48899620121502;13:00;FEED;Déjeuner;cour
H6301;-14.432773380190834;16.48899620121502;14:00;REST;Dormir;cour
H6301;-14.432773380190834;16.48899620121502;17:00;STILL;Prière + Wird;Cour
H6301;-14.432773380190834;16.48899620121502;21:00;FEED;Diner;cour
H6302;-14.432761742185596;16.48900177997909;14:00;FEED;Déjeuner;cour
H6302;-14.432761742185596;16.48900177997909;15:00;STILL;palabrer;cour
